id,name,rating,address,city,lat,long
165,t-spot-boba-drinks-and-snacks-san-jose,4,2520 Berryessa Rd,San Jose,37.3880,-121.8589
166,meow-tea-san-jose,4,2857 Senter Rd,San Jose,37.2996,-121.8402
167,fantasia-coffee-and-tea-san-jose-4,3.5,378 Santana Row,San Jose,37.3195,-121.9476
168,monster-boba-cupertino-3,3.5,10787 S Blaney Ave,Cupertino,37.3113,-122.0236
169,teasociety-san-jose,3.5,1658 E Capitol Expy,San Jose,37.3062,-121.8105
170,bfresh-snacks-and-drinks-san-jose,4,3005 Silver Creek Rd,San Jose,37.3086,-121.8135
171,beibay-tea-san-jose,4,1180 Blossom Hill Rd,San Jose,37.2497,-121.8793
172,gong-cha-san-jose-19,3.5,1701 Lundy Ave,San Jose,37.3875,-121.8873
173,sweet-gelato-tea-lounge-san-jose,4.5,979 Story Rd,San Jose,37.3313,-121.8574
174,sharetea-san-jose-3,3.5,1728 Hostetter Rd,San Jose,37.3875,-121.8829
175,gong-cha-san-jose-8,3.5,1600 Saratoga Ave,San Jose,37.2923,-121.9887
176,soyful-desserts-san-jose-8,4,3005 Silver Creek Rd,San Jose,37.3091,-121.8144
177,oooh-san-jose-4,4,1783 E Capitol Expwy,San Jose,37.3095,-121.8099
178,the-tea-zone-lounge-san-jose,4,403 N Capitol Ave,San Jose,37.3720,-121.8461
179,the-moo-bar-santa-clara,3.5,1080 Kiely Blvd,Santa Clara,37.3459,-121.9792
180,tapioca-express-san-jose-8,4,81 Curtner Ave,San Jose,37.3030,-121.8646
181,purple-kow-san-jose-4,3.5,2435 S King Rd,San Jose,37.3210,-121.8254
182,heritage-eats-napa,4.5,3824 Bel Aire Plz,Napa,38.3239,-122.3071
183,yobelle-napa-2,3.5,1000 Main St,Napa,38.2992,-122.2853
184,morimoto-napa-napa,4,610 Main St,Napa,38.2967,-122.2833
185,napa-noodles-napa,3,1124 1st St,Napa,38.2988,-122.2865
186,crave-cafe-and-catering-american-canyon,3.5,3419 Broadway St,American Canyon,38.1690,-122.2543
187,quickly-american-canyon-3,2.5,410 Napa Junction Rd,American Canyon,38.1849,-122.2537
188,top-that-frozen-yogurt-sonoma,3.5,531 Broadway Ave,Sonoma,38.2914,-122.4581
189,over-the-top-shop-frozen-yogurt-american-canyon,2.5,5075 Main St,American Canyon,38.1810,-122.2540
190,sushi-grill-vallejo,4,5184 Sonoma Blvd,Vallejo,38.1481,-122.2530
191,palm-thai-bistro-fairfield,4.5,5089 Business Center Dr,Fairfield,38.2155,-122.1432
192,green-bamboo-restaurant-fairfield,3.5,4437 Central Pl,Fairfield,38.2219,-122.1251
193,thai-kitchen-american-canyon,3.5,3425 Broadway St,American Canyon,38.1702,-122.2541
194,sactomofo-sacramento-6,3.5,5478 Boswell Way,Sacramento,38.6746,-121.5086
195,westea-pleasanton,4,4233 Rosewood Dr,Pleasanton,37.6984,-121.8741
196,baotea-cafe-pleasanton-2,4.5,6654 Koll Center Pkwy,Pleasanton,37.6588,-121.8982
197,i-tea-dublin-dublin,4,4064 Grafton St,Dublin,37.7032,-121.8659
198,aroma-tapioca-tea-and-coffee-pleasanton,3.5,4833 Hopyard Rd,Pleasanton,37.6929,-121.9018
199,i-tea-pleasanton,4,915 Main St,Pleasanton,37.6659,-121.8742
200,t4-dublin,3.5,3744 Fallon Rd,Dublin,37.7038,-121.8512
201,tea-factory-dublin-2,4,8945 San Ramon Rd,Dublin,37.7222,-121.9419
202,icicles-pleasanton,4,600 Main St,Pleasanton,37.6613,-121.8751
203,sharetea-dublin-3,4,7375 Amador Valley Blvd,Dublin,37.7104,-121.9274
204,cafe-tapioca-dublin,3.5,7160 Regional St,Dublin,37.7040,-121.9342
205,quickly-pleasanton,3.5,1 Stoneridge Mall Rd,Pleasanton,37.6957,-121.9293
206,letea-pleasanton-2,2.5,4299 Rosewood Dr,Pleasanton,37.6996,-121.8733
207,tea-breeze-pleasanton,3,4275 Rosewood Dr,Pleasanton,37.6995,-121.8741
208,360-crepes-pleasanton-3,4,3120 Santa Rita Rd,Pleasanton,37.6905,-121.8775
209,t4-san-ramon-2,3.5,9140 Alcosta Blvd,San Ramon,37.7302,-121.9301
210,i-tea-san-ramon-3,4,21001 San Ramon Valley Blvd,San Ramon,37.7241,-121.9444
211,snowflake-dublin,3.5,4288 Dublin Blvd,Dublin,37.7048,-121.8752
212,quickly-dublin,2.5,4288 Dublin Blvd,Dublin,37.7058,-121.8761
213,cafe-taiwan-pleasanton-9,4,3550 Stanley Blvd,Pleasanton,37.6697,-121.8588
214,cafe-junction-pleasanton-3,4,5321 Hopyard Rd,Pleasanton,37.6994,-121.9048
215,o-honey-dublin,4,3862 Fallon Rd,Dublin,37.7050,-121.8515
216,the-mix-creamery-dublin-2,4,6601 Dublin Blvd,Dublin,37.7044,-121.9116
217,tasty-pot-dublin,4,4288 Dublin Blvd,Dublin,37.7046,-121.8755
218,ohana-hawaiian-bbq-of-pleasanton-pleasanton,5,5410 Sunol Blvd,Pleasanton,37.6522,-121.8786
219,99-ranch-market-pleasanton,3.5,4299 Rosewood Dr,Pleasanton,37.6996,-121.8733
220,menchies-frozen-yogurt-dublin,4,3742 Fallon Rd,Dublin,37.7037,-121.8515
221,blossom-bee-dublin,4,7335 Village Pkwy,Dublin,37.7109,-121.9264
222,berry-delight-pleasanton,3,1008 Stoneridge Mall Rd,Pleasanton,37.6946,-121.9316
223,new-thai-bistro-pleasanton-2,4.5,4301 D Valley Ave,Pleasanton,37.6772,-121.8758
224,tutti-frutti-frozen-yogurt-dublin,3,4930 Dublin Blvd,Dublin,37.7040,-121.8853
225,kee-wah-bakery-dublin,4,4288 Dublin Blvd,Dublin,37.7046,-121.8758
226,blush-organic-frozen-yogurt-dublin,4,4640 Tassajara Rd,Dublin,37.7080,-121.8731
227,koi-palace-dublin,3.5,Ulferts Ctr,Dublin,37.7046,-121.8760
228,berry-and-berry-yogurt-livermore,2.5,2774 Livermore Outlets Dr,Livermore,37.6981,-121.8422
229,pho-saigon-city-pleasanton,3,4275 Rosewood Dr,Pleasanton,37.6995,-121.8739
230,yogurtland-dublin,4,6851 Amador Plz Rd,Dublin,37.7058,-121.9271
231,lees-sandwiches-dublin-2,3.5,4101 Dublin Blvd,Dublin,37.7062,-121.8738
232,osaka-ramen-dublin,3,4288 Dublin Blvd,Dublin,37.7052,-121.8762
233,pho-99-dublin-5,4,7459 Amador Valley Blvd,Dublin,37.7103,-121.9286
234,tandoori-pizza-dublin,4,4060 Grafton St,Dublin,37.7031,-121.8660
235,halu-shabu-shabu-dublin,3,4288 Dublin Blvd,Dublin,37.7046,-121.8755
236,amakara-dublin,4,7222 Regional St,Dublin,37.7051,-121.9349
237,pho-saigon-garden-dublin,3.5,7265 Regional St,Dublin,37.7057,-121.9337
238,pho-saigon-noodle-house-san-ramon,3.5,9150 Alcosta Blvd,San Ramon,37.7294,-121.9314
239,85-c-bakery-cafe-newark,3.5,35201 Newark Blvd,Newark,37.5477,-122.0466
240,blackball-desserts-union-city-union-city,3.5,34563 Alvarado Niles Rd,Union City,37.5866,-122.0202
241,tasty-pot-newark,4,34909 Newark Blvd,Newark,37.5508,-122.0509
242,icicles-newark,4,39055 Cedar Blvd,Newark,37.5231,-122.0079
243,che-lo-union-city-2,5,1767 Decoto Blvd,Union City,37.5896,-122.0225
244,fusion-mix-frozen-yogurt-fremont-2,4.5,4144 Walnut Ave,Fremont,37.5436,-121.9841
245,crepe-bar-newark,4,2078 Newpark Mall,Newark,37.5282,-122.0002
246,q-cup-fremont,3,39129 Fremont Blvd,Fremont,37.5462,-121.9874
247,bambu-newark-2,3.5,6058 Mowry Ave,Newark,37.5237,-122.0071
248,bambu-union-city-2,3.5,31812-31822 Alvarado Blvd,Union City,37.5915,-122.0711
249,storm-crepes-newark,4.5,39658 Cedar Blvd,Newark,37.5218,-121.9974
250,sweet-orchid-fremont,4.5,34460 Fremont Blvd,Fremont,37.5751,-122.0389
251,jenjons-cafe-union-city,4,1704 Decoto Rd,Union City,37.5891,-122.0188
252,k-pop-cafe-fremont,4,35041 Fremont Blvd,Fremont,37.5704,-122.0319
253,milkcow-fremont-2,3.5,5657 Auto Mall Pkwy,Fremont,37.5047,-121.9763
254,boba-guys-san-carlos-2,4,872 Laurel St,San Carlos,37.5027,-122.2570
255,teaquation-redwood-city,4.5,1036 El Camino Real,Redwood City,37.4840,-122.2327
256,t4-hayward-3,3.5,1033 B St,Hayward,37.6731,-122.0820
257,sweet-spot-castro-valley,4.5,20669 Santa Maria Ave,Castro Valley,37.6961,-122.0786
258,teaster-hayward-2,3.5,410 W A St,Hayward,37.6660,-122.1084
259,sharetea-palo-alto-2,4,540 Bryant St,Palo Alto,37.4454,-122.1610
260,chatime-redwood-city-2,4,2202 Broadway St,Redwood City,37.4871,-122.2296
261,eko-coffee-bar-and-tea-house-hayward,4,1075 B St,Hayward,37.6737,-122.0814
